"Drive Speed, n",Unit,Leakage Filter Clog,"Leakage Flow, QL",Unit,Main Flow Filter Clog,"Main Flow, Q ",Unit,Pilot_X1,Unit,Pilot_X2,Unit,"Pressure Remote, G",Unit,Pressure_A,Unit,Pressure _B,Unit,Recirculation Filter Clog
1646.531458,rpm,FALSE,0.0125,l/min,FALSE,2.175,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1507.380542,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1655.678442,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1549.612358,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1654.802667,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2775,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1551.558525,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1702.581058,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1528.982992,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1630.475583,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1505.434375,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,0.1333333333,bar,8.133333333,bar,167.15,bar,FALSE
1634.951767,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167.15,bar,FALSE
1594.4715,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167.15,bar,FALSE
1634.465225,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167.15,bar,FALSE
1614.3224,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167.15,bar,FALSE
1649.839942,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167.15,bar,FALSE
1571.798658,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167.15,bar,FALSE
1575.7883,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167.15,bar,FALSE
1655.386517,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1567.906325,rpm,FALSE,0.0125,l/min,FALSE,1.95,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1642.833742,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1518.376383,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.2575,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1657.5273,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1547.374267,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1657.235375,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1551.947758,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1704.137992,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1522.65795,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1622.301683,rpm,FALSE,0.0125,l/min,FALSE,1.725,l/min,0.235,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
